x to 2.JPG,y to 2.JPG
3030.4,2768.58
999.447,1051.18
888.618,125.336
891.065,133.692
842.481,2234.85
622.853,1650.18
935.456,452.704
581.643,1453.38
1932.47,72.6434
420.994,1711.52
1767.9,86.5559
940.364,447.895
934.68,403.638
33.0591,1633.42
1048.2,1441.56
942.857,457.824
936.097,393.721
939.862,423.324
939.862,423.324
1510.88,1494.29
709.943,2273.52
3364.44,2470.3
2391.36,304.956
983.567,778.095
983.567,778.095
91.5025,2005.93
1020.42,1064.25
1331.47,1377.44
624.762,1543.22
3234.71,2037.23
1342.7,2170.08
952.972,393.135
3803.56,1328.38
2344.29,2319.8
2811.91,1564.9
3895.69,2521.48
1136.77,2010.53
1137.63,2004.4
2037.53,2213.86
968.039,457.53
3405.18,2887.3
200.553,1566.5
956.789,338.41
956.789,338.41
1678.29,50.6521
1795.05,2251.11
1257.76,139.355
3667.26,2621.65
1100.76,2461.2
2910.25,784.819
352.688,1373.84
942.484,107.728
936.135,85.3676
1276.33,2150.14
973.511,386.987
2354.01,578.472
1337.39,2025.8
935.812,2800.05
2476.89,2546.8
948.556,109.625
201.735,1612.93
2252.78,1838.59
982.956,384.676
783.037,868.423
1548.91,1391.31
2941.39,69.8762
981.182,332.078
981.182,332.078
1798.86,926.706
986.161,326.629
1257.01,1889.32
1352.54,2833.47
200.605,2485.53
1680.21,133.653
2385.04,237.649
2206.36,494.149
2667.69,2495.16
1154.54,2272.89
1051.69,875.246
997.498,324.963
997.498,324.963
972.013,95.3543
2256.09,842.403
1554.54,1586.94
716.657,1529.81
3389.77,827.002
2621.66,476.721
1007.18,320.918
1047.52,2680.04
1004.65,283.007
1591.68,1986.97
61.972,545.003
2819.19,2022.79
1015.35,320.289
985.41,60.6568
3843.57,964.669
1070,856.093
1214.47,2447.78
1092.77,2561.08
2989.83,779.843
2494.29,1540.68
1056.68,654.817
1067.73,758.832
1362.82,2520.74
497.003,161.945
1403.72,2592.1
1026.29,316.542
3122.26,2114.32
694.146,235.078
1671.97,645.914
1016.06,179.627
1016.04,173.345
209.609,2774.11
1709.01,2369
1037.07,365.242
1086.51,861.263
1089.72,908.555
2225.84,782.645
3243.66,2827.41
1042.22,367.97
1021.95,170.036
1025.08,184.396
913.964,2379.13
1852.95,2190.86
836.943,162.261
491.651,172.155
3030.43,2190.57
3330.57,854.952
895.354,666.44
1094.72,820.95
35.4507,1476.49
1038.45,167.999
1055.7,322.381
1211.55,1324.43
1062,350.836
1595.1,2654.95
33.8513,1630.26
2183.6,2911.82
1067.56,348.655
1573.68,1560.51
1573.68,1560.51
1312.77,2278.78
672.331,1546.02
2255.93,942.797
1852.67,1930.55
1085.99,351.401
2187.38,678.732
1990.52,690.397
2760.01,1142.29
1091.68,348.96
2023.36,1842.43
2010.91,956.481
1025.19,1970.07
875.243,2454.77
3109.31,1983.17
1080.81,160.003
1100.55,350.425
741.455,1290.01
2716.16,434.469
1090.39,71.2485
1483.15,1528.98
