FileName, GPS GPSAltitude Ratio, GPS GPSAltitudeRef Byte, GPS GPSLatitude Ratio, GPS GPSLatitudeRef ASCII, GPS GPSLongitude Ratio, GPS GPSLongitudeRef ASCII, GPS GPSVersionID Byte
138.JPG,25309/500,1,[29: 59: 185277/5000],N,[90: 6: 6537/1000],W,[0: 0: 0: 0]
139.JPG,19159/500,1,[29: 59: 74247/2000],N,[90: 6: 71813/10000],W,[0: 0: 0: 0]
140.JPG,10309/250,1,[29: 59: 374139/10000],N,[90: 6: 6617/1000],W,[0: 0: 0: 0]
141.JPG,27209/500,1,[29: 59: 18551/500],N,[90: 6: 13009/2000],W,[0: 0: 0: 0]
142.JPG,10597/500,1,[29: 59: 383883/10000],N,[90: 6: 32139/5000],W,[0: 0: 0: 0]
143.JPG,10647/500,1,[29: 59: 184493/5000],N,[90: 6: 1867/250],W,[0: 0: 0: 0]
144.JPG,33559/500,1,[29: 59: 370521/10000],N,[90: 6: 1307/200],W,[0: 0: 0: 0]
145.JPG,10647/500,1,[29: 59: 377661/10000],N,[90: 6: 38577/5000],W,[0: 0: 0: 0]
146.JPG,24659/500,1,[29: 59: 370547/10000],N,[90: 6: 32691/5000],W,[0: 0: 0: 0]
147.JPG,21633/1000,1,[29: 59: 72881/2000],N,[90: 6: 51827/10000],W,[0: 0: 0: 0]
148.JPG,6417/125,1,[29: 59: 189299/5000],N,[90: 6: 16519/2500],W,[0: 0: 0: 0]
149.JPG,9959/250,1,[29: 59: 75083/2000],N,[90: 6: 32673/5000],W,[0: 0: 0: 0]
150.JPG,5792/125,1,[29: 59: 187311/5000],N,[90: 6: 32047/5000],W,[0: 0: 0: 0]
151.JPG,9909/250,1,[29: 59: 376993/10000],N,[90: 6: 68377/10000],W,[0: 0: 0: 0]
152.JPG,5717/125,1,[29: 59: 374013/10000],N,[90: 6: 70423/10000],W,[0: 0: 0: 0]
153.JPG,34909/500,1,[29: 59: 370547/10000],N,[90: 6: 65361/10000],W,[0: 0: 0: 0]
154.JPG,6417/125,1,[29: 59: 378791/10000],N,[90: 6: 4242/625],W,[0: 0: 0: 0]
155.JPG,10547/500,1,[29: 59: 380093/10000],N,[90: 6: 58411/10000],W,[0: 0: 0: 0]
156.JPG,10747/500,1,[29: 59: 186307/5000],N,[90: 6: 14317/2500],W,[0: 0: 0: 0]
157.JPG,11509/250,1,[29: 59: 189237/5000],N,[90: 6: 8451/1250],W,[0: 0: 0: 0]
158.JPG,9859/250,1,[29: 59: 187201/5000],N,[90: 6: 3303/500],W,[0: 0: 0: 0]
159.JPG,5767/125,1,[29: 59: 377981/10000],N,[90: 6: 34653/5000],W,[0: 0: 0: 0]
160.JPG,28359/500,1,[29: 59: 46409/1250],N,[90: 6: 14367/2000],W,[0: 0: 0: 0]
161.JPG,4792/125,1,[29: 59: 375033/10000],N,[90: 6: 33423/5000],W,[0: 0: 0: 0]
162.JPG,9859/250,1,[29: 59: 374869/10000],N,[90: 6: 65691/10000],W,[0: 0: 0: 0]
163.JPG,10597/500,1,[29: 59: 382631/10000],N,[90: 6: 36437/5000],W,[0: 0: 0: 0]
164.JPG,34109/500,1,[29: 59: 74259/2000],N,[90: 6: 17943/2500],W,[0: 0: 0: 0]
165.JPG,21833/1000,1,[29: 59: 93679/2500],N,[90: 6: 12749/2500],W,[0: 0: 0: 0]
166.JPG,11097/500,1,[29: 59: 37433/1000],N,[90: 6: 77549/10000],W,[0: 0: 0: 0]
167.JPG,5692/125,1,[29: 59: 375543/10000],N,[90: 6: 4429/625],W,[0: 0: 0: 0]
168.JPG,13009/500,1,[29: 59: 44737/1250],N,[90: 6: 71149/10000],W,[0: 0: 0: 0]
169.JPG,5742/125,1,[29: 59: 378197/10000],N,[90: 6: 32983/5000],W,[0: 0: 0: 0]
170.JPG,21833/1000,1,[29: 59: 763/20],N,[90: 6: 29847/5000],W,[0: 0: 0: 0]
