x (14.JPG),y (14.JPG),x (29.JPG),y (29.JPG)
1186.7,2827.36,2337.17,1912,
1186.96,2603.65,776.848,2153.41,
1187.87,2648.12,452.611,2152.88,
1188.09,1176.62,1798.66,1537.92,
1191.6,2266.02,2134.43,945.171,
1194.04,1192.74,2436.32,1160.44,
1194.42,2608.63,2364.02,1750.23,
1194.8,2601.19,2363.7,1744.39,
1195.1,2819.85,2345.65,1908.55,
1195.67,2800.88,2389.18,1839.52,
1196.07,1154.17,471.999,1719.06,
1199,2114.48,3217.17,1486.26,
1199.06,1880.36,1494.76,1457.8,
1199.28,2440.9,2387.14,1615.13,
1200.1,2620.5,2394.57,1757.95,
1200.55,2433.59,2389.18,1609.22,
1201.6,1127.39,1868.86,1056.07,
1202.12,2871.86,2346.57,1945.76,
1203.14,1806.51,1344.12,1356.5,
1203.2,2269.49,2394.36,2558.67,
1203.32,1100.62,1845.93,863.223,
1203.58,1906.46,3303.09,2608.85,
1203.87,2721.51,2372.05,1835.8,
1204.58,2200.94,955.006,1385.51,
1205.82,1090.48,1812.57,1002.19,
1205.88,2987.73,2493.41,2432.44,
1206.34,1016.72,2860.93,1376.42,
1207.36,1982.11,3049.05,2692.66,
1208.2,2037.86,1816.8,910.142,
1208.49,2472.47,2397.53,1640.95,
1209.08,2097.85,1701.86,1326.92,
1210.02,2621.53,2402.68,1759.61,
1210.15,2457.67,2399.56,1629.12,
1210.15,2457.67,2399.56,1629.12,
1210.17,2646.39,2399.53,1779.38,
1210.32,2462.16,2399.47,1633.28,
1211.01,2715.37,1105.41,1146.06,
1211.41,2470.39,2400.38,1639.63,
1213.69,2624.11,2404.96,1761.91,
1214.67,2134.27,3066.57,2548.47,
1215.35,1807.6,1352.92,1355.18,
1217.28,1192.95,1074.7,1397.52,
1218.43,2649.35,2405.44,1782.21,
1218.52,2926.1,1866.35,1383.85,
1222.2,1828.92,1920,743.017,
1222.2,1828.92,1920,743.017,
1223,2124.91,848.087,1881.45,
1224.49,2439.6,2411.81,1615.51,
1224.89,2434,2409.71,1610.88,
1224.89,2434,2409.71,1610.88,
1225.64,1833.45,1642.95,629.75,
1228.01,1281.89,1798.54,511.503,
1228.85,2752.34,2396.16,1843.21,
1230.17,2658.52,1730.76,1362.47,
1230.18,1920.53,3767.53,2242.75,
1233.24,1936.34,2520.6,1137.21,
1233.57,2145.86,1825.02,612.063,
1234.16,2305.93,2442.45,1499.2,
1234.23,2922.4,2758.27,1460.53,
1234.47,1292.68,863.316,1644.6,
1236.28,1994.72,2664.67,2348.81,
1236.32,2642.64,2420.6,1778.68,
1237.38,2634.59,2422.74,1772.12,
1238.45,2713.94,2363.67,1870.23,
1238.49,2296.01,2445.87,1490.83,
1239.43,1207.58,833.01,1282.59,
1241.16,2439.39,2421.39,1616.14,
1241.64,2286.92,1341.08,1767.46,
1242.37,2829.23,2382.95,1919.66,
1243.66,2295.21,2450.54,1490.85,
1244.64,2304.45,3370.81,1532.16,
1244.75,2155.89,3218.01,2100,
1245.99,1251.95,1784.05,1915.92,
1246.12,2319.01,3099.11,1649.39,
1246.12,2319.01,3099.11,1649.39,
1247.15,2814.2,2388.56,1908.83,
1247.76,2698.3,2401.93,1823.19,
1247.76,2698.3,2401.93,1823.19,
1248.16,2708.51,2402.55,1830.42,
1248.18,2439.3,2428.99,1616.72,
1248.39,2299.48,2454.51,1494.38,
1248.7,865.538,2838.9,1976.49,
1249.72,2989.8,2735.45,2696.72,
1249.75,2985.17,1554.97,2396.48,
1249.81,892.577,2902.44,2820.45,
1254.25,1875.07,1621.97,566.617,
1254.25,1875.07,1621.97,566.617,
1254.93,2008.17,1666.93,1508.9,
1255.02,2096.05,1931.19,1407,
1255.95,924.632,1549.04,1321.01,
1257.45,2672.17,2412.76,1803.31,
1259.12,2773.62,2403.15,1881.03,
1259.18,1256.98,612.7,2051,
1261.58,1960.29,2540.3,1162.01,
1262.19,2780.47,2404.88,1886.5,
1262.68,2684.85,2417.61,1814.56,
1263.46,2669.83,2418.02,1803.38,
1263.63,2993.18,1776.36,2996.42,
1264.15,2962.66,900.825,1635.02,
1264.36,1963.39,2543.68,1164.91,
1266.77,1969.2,2546,1170.1,
1267.99,2893.07,2386.43,1959.07,
1268.95,1971.35,2548.33,1172.49,
1269.5,2645.35,1883.64,1205.85,
1269.93,1966.72,2549.18,1167.79,
1270.46,2321.5,2440.37,1521.84,
1271.44,2003.87,2046.53,1430.81,
1271.71,2764.88,2415.42,1875.64,
1272.06,2670.08,1998.49,532.447,
1273.87,2949.77,3435.5,1842.89,
1274.02,1211.2,749.911,1609.64,
1274.19,2749.45,2418.85,1864.74,
1275,2432.88,2451.71,1612.89,
1275,2432.88,2451.71,1612.89,
1275.17,2462.4,2453.41,1636.7,
1275.21,2754.11,2419.34,1868.54,
1275.28,2462.1,2453.41,1636.7,
1275.38,2010.28,1811.45,340.76,
1276.32,1289.57,1595.23,1081.04,
